S.no,price,reviews,rating,accommodates,extpeop,savwish,min_stay,Conversion%,sentiment,secdep,cleanfee,weekfee,monthfee,bedroom,bathroom,beds,uprice,Esimated Revenue,average revenue per booking,City
60,55,101,4.5,2,0,404,1,25,2.992442792,1,0,0,0,1,1,1,55,5555,55,Miami
61,100,28,5,2,0,276,5,10.14492754,4.022419224,0,1,0,0,1,1,1,100,14000,500,Miami
62,85,3,4.5,2,1,74,9,4.054054054,2.086039221,0,1,1,1,1,1,1,85,2295,765,Miami
63,65,10,4.5,2,0,121,3,8.26446281,3.535714286,0,0,1,0,1,1,1,65,1950,195,Miami
64,65,127,5,2,0,546,3,23.26007326,1.629419974,0,0,0,0,1,1,1,65,24765,195,Miami
65,60,54,4.5,2,0,187,1,28.87700535,3.583269855,0,0,0,0,1,1,1,60,3240,60,Miami
66,65,27,4.5,2,0,82,1,32.92682927,3.583269855,0,0,0,0,1,1,1,65,1755,65,Miami
67,95,48,4.5,3,1,441,1,10.88435374,2.324890877,1,1,1,1,1,1,2,95,4560,95,Miami
68,100,57,4.5,2,0,479,3,11.89979123,2.383333333,1,1,0,0,1,1,1,100,17100,300,Miami
69,99,69,4.5,3,1,740,1,9.324324324,4.649985183,1,1,0,0,1,1,1,99,6831,99,Miami
70,89,13,4.5,3,0,147,3,8.843537415,2.076611393,0,0,0,0,0,1,1,89,3471,267,Miami
71,119,5,5,3,0,100,5,5,3.517920046,1,1,1,1,0,1,1,119,2975,595,Miami
72,129,9,4.5,3,0,60,5,15,3.541939205,1,1,1,1,1,1,1,129,5805,645,Miami
73,119,3,4.5,3,0,86,5,3.488372093,2.390108173,1,1,1,1,0,1,1,119,1785,595,Miami
74,129,11,4.5,3,0,57,5,19.29824561,3.450955072,1,1,1,1,1,1,1,129,7095,645,Miami
75,70,3,4.5,2,0,42,1,7.142857143,2.947012779,0,1,0,0,0,1,1,70,210,70,Miami
76,65,112,4.5,3,0,902,1,12.41685144,1.246249275,1,1,0,0,0,1,1,65,7280,65,Miami
77,60,40,5,2,0,295,5,13.55932203,4.198752043,0,0,0,0,1,1,2,60,12000,300,Miami
78,70,6,5,2,0,46,1,13.04347826,3.712450858,0,0,0,0,1,1,1,70,420,70,Miami
79,65,17,5,2,0,93,5,18.27956989,4.268701689,0,0,0,0,1,1,1,65,5525,325,Miami
80,65,3,5,2,0,44,5,6.818181818,3.403617301,0,0,0,0,1,1,1,65,975,325,Miami
81,59,17,5,2,0,268,5,6.343283582,2.967301476,0,0,1,1,1,1,1,59,5015,295,Miami
82,55,17,4.5,2,0,98,1,17.34693878,2.215438786,0,0,1,1,1,1,1,55,935,55,Miami
83,149,15,5,4,1,148,5,10.13513514,3.436754228,1,1,1,0,0,1,1,149,11175,745,Miami
84,85,17,5,3,0,331,1,5.135951662,3.983417538,1,1,1,1,1,1,1,85,1445,85,Miami
85,2500,0,NA,10,0,5,5,0,NA,1,1,0,0,5,5,5,500,0,0,Miami
86,79,10,5,2,0,121,1,8.26446281,4.401204505,1,1,1,1,1,1,1,79,790,79,Miami
87,2000,0,NA,10,0,3,5,0,NA,1,1,0,0,5,4,5,400,0,0,Miami
88,3000,0,NA,10,0,1,5,0,NA,1,1,0,0,5,5,5,600,0,0,Miami
89,100,31,5,4,1,439,5,7.061503417,4.305965048,0,1,0,0,1,1,2,100,15500,500,Miami
90,150,1,4.5,4,1,35,5,2.857142857,2.774254999,0,1,0,0,1,1,1,150,750,750,Miami
91,100,20,5,4,1,275,5,7.272727273,3.578686064,0,1,0,0,1,1,1,100,10000,500,Miami
92,499,0,NA,4,0,4,1,0,2.426963383,0,0,0,0,1,0,1,499,0,0,Miami
