,price,reviews,rating,accommodates,extpeop,savwish,min_stay,sentiment,secdep,cleanfee,weekfee,monthfee,bedroom,bathroom,beds
86,79,10,5,2,0,121,1,4.401204505,1,1,1,1,1,1,1
87,2000,0,NA,10,0,3,5,NA,1,1,0,0,5,4,5
88,3000,0,NA,10,0,1,5,NA,1,1,0,0,5,5,5
89,100,31,5,4,1,439,5,4.305965048,0,1,0,0,1,1,2
90,150,1,4.5,4,1,35,5,2.774254999,0,1,0,0,1,1,1
91,100,20,5,4,1,275,5,3.578686064,0,1,0,0,1,1,1
92,499,0,NA,4,0,4,1,2.426963383,0,0,0,0,1,0,1
93,120,11,4.5,5,1,174,7,4.146139914,0,1,1,1,1,1,1
94,119,6,5,3,0,198,3,2.196112205,1,1,0,0,1,1,1
95,115,8,5,6,1,117,7,3.922770123,1,1,1,1,1,1,2
96,119,17,4.5,3,0,323,3,2.363003566,1,1,0,0,0,1,1
97,149,3,4.5,2,0,30,5,1.790366871,1,1,1,1,1,1,1
98,99,3,4.5,6,0,144,1,3.350850012,1,1,1,1,2,2,3
99,99,2,5,6,0,618,1,3.497741056,1,1,1,1,2,2,3
100,99,6,4.5,6,0,345,1,3.565418964,1,1,1,1,2,2,3
101,230,0,NA,5,0,25,8,NA,1,1,0,0,2,1,2
102,350,0,NA,6,0,5,4,NA,1,1,0,0,3,2,4
103,240,0,NA,7,0,0,4,NA,1,1,0,0,3,2,4
104,99,1,NA,2,0,33,5,0,1,1,1,1,1,2,1
105,258,4,5,4,0,75,8,1.439677548,1,0,0,0,2,1,2
106,150,0,NA,1,0,1,1,NA,1,1,1,0,1,1,1
107,195,5,4,4,0,97,8,1.396062109,1,0,0,1,2,1,2
108,125,13,4.5,2,0,218,8,1.964752582,1,1,1,1,1,1,2
109,128,1,NA,2,1,9,1,0.893990779,1,1,0,0,1,1,1
110,114,1,4.5,2,1,32,1,0.893990779,1,1,0,0,1,1,2
111,284,2,4,4,0,5,1,0.893990779,1,1,0,0,2,2,2
112,115,38,4.5,4,1,307,1,4.702572073,1,1,0,0,1,1,1
113,130,17,4.5,6,1,193,1,4.62700979,1,1,0,0,2,2,3
114,110,42,4.5,5,1,319,1,4.489397942,1,1,0,0,1,1,1
115,125,3,4.5,3,0,54,5,1.626212037,1,1,0,0,1,1,1
116,125,4,5,3,0,27,5,1.65923157,1,1,0,0,1,1,1
117,129,1,5,10,0,19,9,1.523821683,1,1,0,0,3,2,10
118,239,5,3,10,1,88,5,1.810932667,1,1,0,0,1,1,6
119,500,0,NA,16,0,106,5,1.449955193,1,1,0,0,4,2,12
120,149,2,4,5,1,18,5,1.7462565,1,1,0,0,0,1,3
121,199,4,4,5,0,142,5,1.810932667,1,1,0,0,0,1,3
122,175,2,5,4,1,5,1,1.883485047,1,1,1,1,1,1,2
123,249,17,5,4,0,313,6,4.71165546,1,1,0,0,2,2,2
124,72,55,5,3,1,297,3,4.76171532,1,1,0,0,1,1,1
125,250,35,5,10,1,739,1,3.853731957,0,1,1,1,2,2,2
